ISO3,year,area,population
PLW,1950,total,7000
ASM,1950,total,19000
COK,1950,total,15000
PYF,1950,total,60000
NIU,1950,total,5000
WSM,1950,total,83000
TKL,1950,total,2000
TON,1950,total,47000
TUV,1950,total,6000
WLF,1950,total,7000
BDI,1951,total,2360000
COM,1951,total,164000
DJI,1951,total,63000
ERI,1951,total,1160000
ETH,1951,total,18467000
KEN,1951,total,6241000
MDG,1951,total,4169000
MWI,1951,total,3008000
MUS,1951,total,506000
MYT,1951,total,15000
MOZ,1951,total,6249000
REU,1951,total,259000
RWA,1951,total,2251000
SYC,1951,total,37000
SOM,1951,total,2308000
SSD,1951,total,2601000
UGA,1951,total,5309000
TZA,1951,total,7847000
ZMB,1951,total,2366000
ZWE,1951,total,2829000
AGO,1951,total,4660000
CMR,1951,total,4383000
CAF,1951,total,1340000
TCD,1951,total,2544000
COG,1951,total,844000
COD,1951,total,12429000
GNQ,1951,total,231000
GAB,1951,total,476000
STP,1951,total,59000
DZA,1951,total,9040000
EGY,1951,total,21215000
LBY,1951,total,1143000
MAR,1951,total,9242000
SDN,1951,total,5885000
TUN,1951,total,3696000
ESH,1951,total,16000
BWA,1951,total,426000
LSO,1951,total,744000
NAM,1951,total,494000
ZAF,1951,total,13954000
SWZ,1951,total,279000
BEN,1951,total,2258000
BFA,1951,total,4324000
CPV,1951,total,186000
CIV,1951,total,2695000
GMB,1951,total,272000
GHA,1951,total,5068000
GIN,1951,total,3142000
GNB,1951,total,544000
LBR,1951,total,943000
MLI,1951,total,4759000
MRT,1951,total,676000
NER,1951,total,2638000
NGA,1951,total,38424000
SHN,1951,total,5000
SEN,1951,total,2545000
SLE,1951,total,2063000
TGO,1951,total,1425000
CHN,1951,total,569611000
HKG,1951,total,2063000
MAC,1951,total,201000
TWN,1951,total,7893000
PRK,1951,total,10249000
JPN,1951,total,84315000
MNG,1951,total,793000
KOR,1951,total,19459000
KAZ,1951,total,6831000
KGZ,1951,total,1766000
TJK,1951,total,1585000
TKM,1951,total,1232000
UZB,1951,total,6476000
AFG,1951,total,7840000
BGD,1951,total,38705000
BTN,1951,total,181000
IND,1951,total,382245000
IRN,1951,total,17516000
MDV,1951,total,74000
NPL,1951,total,8658000
PAK,1951,total,37975000
LKA,1951,total,8108000
BRN,1951,total,51000
KHM,1951,total,4537000
IDN,1951,total,70869000
LAO,1951,total,1723000
MYS,1951,total,6272000
MMR,1951,total,17470000
PHL,1951,total,19247000
SGP,1951,total,1068000
THA,1951,total,21264000
TLS,1951,total,438000
VNM,1951,total,25364000
ARM,1951,total,1382000
AZE,1951,total,2988000
BHR,1951,total,117000
CYP,1951,total,501000
GEO,1951,total,3556000
IRQ,1951,total,5902000
ISR,1951,total,1354000
JOR,1951,total,536000
KWT,1951,total,158000
LBN,1951,total,1358000
OMN,1951,total,463000
QAT,1951,total,27000
SAU,1951,total,3199000
PSE,1951,total,924000
SYR,1951,total,3499000
TUR,1951,total,21951000
ARE,1951,total,67000
YEM,1951,total,4474000
BLR,1951,total,7717000
BGR,1951,total,7311000
CZE,1951,total,9007000
HUN,1951,total,9481000
POL,1951,total,25283000
MDA,1951,total,2382000
ROU,1951,total,16513000
RUS,1951,total,104306000
SVK,1951,total,3510000
UKR,1951,total,37816000
CHI,1951,total,103000
DNK,1951,total,4309000
EST,1951,total,1113000
FRO,1951,total,32000
FIN,1951,total,4050000
ISL,1951,total,145000
IRL,1951,total,2921000
IMN,1951,total,55000
LVA,1951,total,1934000
LTU,1951,total,2570000
NOR,1951,total,3301000
SWE,1951,total,7073000
GBR,1951,total,50621000
ALB,1951,total,1288000
AND,1951,total,7000
BIH,1951,total,2710000
HRV,1951,total,3886000
GIB,1951,total,22000
GRC,1951,total,7743000
VAT,1951,total,1000
ITA,1951,total,47022000
MLT,1951,total,312000
MNE,1951,total,401000
PRT,1951,total,8433000
SMR,1951,total,13000
SRB,1951,total,6853000
SVN,1951,total,1482000
ESP,1951,total,28244000
MKD,1951,total,1291000
AUT,1951,total,6931000
BEL,1951,total,8680000
FRA,1951,total,42071000
DEU,1951,total,70300000
LIE,1951,total,14000
LUX,1951,total,298000
MCO,1951,total,19000
NLD,1951,total,10167000
CHE,1951,total,4727000
AIA,1951,total,5000
ATG,1951,total,48000
ABW,1951,total,38000
BHS,1951,total,80000
BRB,1951,total,216000
VGB,1951,total,8000
BES,1951,total,7000
CYM,1951,total,6000
CUB,1951,total,6051000
CUW,1951,total,104000
DMA,1951,total,52000
DOM,1951,total,2439000
GRD,1951,total,77000
GLP,1951,total,213000
HTI,1951,total,3276000
JAM,1951,total,1437000
MTQ,1951,total,225000
MSR,1951,total,14000
PRI,1951,total,2210000
KNA,1951,total,46000
LCA,1951,total,84000
VCT,1951,total,68000
SXM,1951,total,2000
TTO,1951,total,659000
TCA,1951,total,5000
VIR,1951,total,27000
BLZ,1951,total,71000
CRI,1951,total,986000
SLV,1951,total,2237000
GTM,1951,total,3212000
HND,1951,total,1589000
MEX,1951,total,28836000
NIC,1951,total,1331000
PAN,1951,total,881000
ARG,1951,total,17507000
BOL,1951,total,3140000
BRA,1951,total,55619000
CHL,1951,total,6328000
COL,1951,total,12700000
ECU,1951,total,3561000
FLK,1951,total,2000
GUF,1951,total,26000
GUY,1951,total,419000
PRY,1951,total,1512000
PER,1951,total,7924000
SUR,1951,total,222000
URY,1951,total,2262000
VEN,1951,total,5736000
BMU,1951,total,38000
CAN,1951,total,14099000
GRL,1951,total,24000
SPM,1951,total,5000
USA,1951,total,160905000
AUS,1951,total,8413000
NZL,1951,total,1948000
FJI,1951,total,297000
NCL,1951,total,65000
PNG,1951,total,1702000
SLB,1951,total,92000
VUT,1951,total,49000
GUM,1951,total,60000
KIR,1951,total,34000
MHL,1951,total,13000
FSM,1951,total,34000
NRU,1951,total,3000
MNP,1951,total,7000
PLW,1951,total,7000
ASM,1951,total,19000
COK,1951,total,15000
PYF,1951,total,62000
NIU,1951,total,5000
WSM,1951,total,85000
TKL,1951,total,2000
TON,1951,total,50000
TUV,1951,total,6000
WLF,1951,total,7000
BDI,1952,total,2403000
COM,1952,total,167000
DJI,1952,total,65000
ERI,1952,total,1179000
ETH,1952,total,18819000
KEN,1952,total,6412000
MDG,1952,total,4257000
MWI,1952,total,3065000
MUS,1952,total,521000
MYT,1952,total,17000
MOZ,1952,total,6353000
REU,1952,total,269000
RWA,1952,total,2313000
SYC,1952,total,37000
SOM,1952,total,2352000
SSD,1952,total,2625000
UGA,1952,total,5455000
TZA,1952,total,8056000
ZMB,1952,total,2428000
ZWE,1952,total,2917000
AGO,1952,total,4775000
CMR,1952,total,4461000
CAF,1952,total,1354000
TCD,1952,total,2589000
COG,1952,total,862000
COD,1952,total,12681000
GNQ,1952,total,234000
GAB,1952,total,477000
STP,1952,total,58000
DZA,1952,total,9217000
EGY,1952,total,21747000
LBY,1952,total,1164000
MAR,1952,total,9529000
SDN,1952,total,6041000
TUN,1952,total,3774000
ESH,1952,total,17000
BWA,1952,total,437000
LSO,1952,total,755000
NAM,1952,total,505000
ZAF,1952,total,14292000
SWZ,1952,total,286000
BEN,1952,total,2265000
BFA,1952,total,4368000
CPV,1952,total,191000
CIV,1952,total,2771000
GMB,1952,total,276000
GHA,1952,total,5192000
GIN,1952,total,3186000
GNB,1952,total,552000
LBR,1952,total,958000
MLI,1952,total,4811000
MRT,1952,total,692000
NER,1952,total,2717000
NGA,1952,total,39035000
SHN,1952,total,5000
SEN,1952,total,2607000
SLE,1952,total,2085000
TGO,1952,total,1442000
CHN,1952,total,582029000
HKG,1952,total,2160000
MAC,1952,total,201000
TWN,1952,total,8164000
PRK,1952,total,10049000
JPN,1952,total,85659000
MNG,1952,total,808000
KOR,1952,total,19830000
KAZ,1952,total,7042000
KGZ,1952,total,1795000
TJK,1952,total,1638000
TKM,1952,total,1258000
UZB,1952,total,6679000
AFG,1952,total,7935000
BGD,1952,total,39491000
BTN,1952,total,184000
IND,1952,total,388539000
IRN,1952,total,17933000
MDV,1952,total,75000
NPL,1952,total,8824000
PAK,1952,total,38484000
LKA,1952,total,8257000
BRN,1952,total,54000
KHM,1952,total,4657000
IDN,1952,total,72310000
LAO,1952,total,1764000
MYS,1952,total,6450000
MMR,1952,total,17796000
PHL,1952,total,19946000
SGP,1952,total,1120000
THA,1952,total,21838000
TLS,1952,total,443000
VNM,1952,total,25976000
ARM,1952,total,1419000
AZE,1952,total,3060000
BHR,1952,total,120000
CYP,1952,total,507000
GEO,1952,total,3588000
IRQ,1952,total,6065000
ISR,1952,total,1452000
JOR,1952,total,577000
KWT,1952,total,162000
LBN,1952,total,1393000
OMN,1952,total,469000
QAT,1952,total,30000
SAU,1952,total,3283000
PSE,1952,total,932000
SYR,1952,total,3591000
TUR,1952,total,22509000
ARE,1952,total,69000
YEM,1952,total,4546000
BLR,1952,total,7710000
BGR,1952,total,7372000
CZE,1952,total,9110000
HUN,1952,total,9597000
POL,1952,total,25765000
MDA,1952,total,2432000
ROU,1952,total,16765000
RUS,1952,total,105969000
SVK,1952,total,3588000
UKR,1952,total,38360000
CHI,1952,total,103000
DNK,1952,total,4346000
EST,1952,total,1126000
FRO,1952,total,32000
FIN,1952,total,4097000
ISL,1952,total,148000
IRL,1952,total,2924000
IMN,1952,total,55000
LVA,1952,total,1946000
LTU,1952,total,2578000
NOR,1952,total,3335000
SWE,1952,total,7128000
GBR,1952,total,50686000
ALB,1952,total,1316000
AND,1952,total,7000
BIH,1952,total,2764000
HRV,1952,total,3922000
GIB,1952,total,22000
GRC,1952,total,7815000
VAT,1952,total,1000
ITA,1952,total,47412000
MLT,1952,total,313000
MNE,1952,total,411000
PRT,1952,total,8477000
SMR,1952,total,13000
SRB,1952,total,6963000
SVN,1952,total,1492000
ESP,1952,total,28442000
MKD,1952,total,1321000
AUT,1952,total,6932000
BEL,1952,total,8728000
FRA,1952,total,42366000
DEU,1952,total,70620000
LIE,1952,total,14000
LUX,1952,total,3e+05
MCO,1952,total,19000
NLD,1952,total,10298000
CHE,1952,total,4789000
AIA,1952,total,5000
ATG,1952,total,50000
ABW,1952,total,39000
BHS,1952,total,82000
BRB,1952,total,220000
VGB,1952,total,8000
BES,1952,total,7000
CYM,1952,total,6000
CUB,1952,total,6180000
CUW,1952,total,108000
DMA,1952,total,52000
DOM,1952,total,2517000
GRD,1952,total,77000
GLP,1952,total,218000
HTI,1952,total,3331000
JAM,1952,total,1468000
MTQ,1952,total,229000
MSR,1952,total,14000
PRI,1952,total,2212000
KNA,1952,total,46000
LCA,1952,total,85000
VCT,1952,total,70000
SXM,1952,total,2000
TTO,1952,total,675000
TCA,1952,total,5000
VIR,1952,total,28000
BLZ,1952,total,73000
CRI,1952,total,1016000
SLV,1952,total,2278000
GTM,1952,total,3312000
HND,1952,total,1631000
MEX,1952,total,29712000
NIC,1952,total,1372000
PAN,1952,total,904000
ARG,1952,total,17866000
BOL,1952,total,3193000
BRA,1952,total,57308000
CHL,1952,total,6467000
COL,1952,total,13065000
ECU,1952,total,3655000
FLK,1952,total,2000
GUF,1952,total,27000
GUY,1952,total,433000
PRY,1952,total,1551000
PER,1952,total,8128000
SUR,1952,total,230000
URY,1952,total,2287000
VEN,1952,total,5990000
BMU,1952,total,38000
CAN,1952,total,14482000
GRL,1952,total,24000
SPM,1952,total,5000
USA,1952,total,163325000
AUS,1952,total,8621000
NZL,1952,total,1993000
FJI,1952,total,304000
NCL,1952,total,64000
PNG,1952,total,1731000
SLB,1952,total,94000
VUT,1952,total,51000
GUM,1952,total,61000
KIR,1952,total,34000
MHL,1952,total,13000
FSM,1952,total,35000
NRU,1952,total,3000
MNP,1952,total,7000
PLW,1952,total,7000
ASM,1952,total,19000
COK,1952,total,15000
PYF,1952,total,63000
NIU,1952,total,5000
WSM,1952,total,87000
TKL,1952,total,2000
TON,1952,total,51000
TUV,1952,total,6000
WLF,1952,total,7000
BDI,1953,total,2446000
COM,1953,total,170000
DJI,1953,total,66000
ERI,1953,total,1201000
ETH,1953,total,19185000
KEN,1953,total,6593000
MDG,1953,total,4349000
MWI,1953,total,3125000
MUS,1953,total,537000
MYT,1953,total,17000
MOZ,1953,total,6463000
REU,1953,total,276000
RWA,1953,total,2379000
SYC,1953,total,38000
SOM,1953,total,2397000
SSD,1953,total,2653000
UGA,1953,total,5601000
TZA,1953,total,8274000
ZMB,1953,total,2494000
ZWE,1953,total,3009000
AGO,1953,total,4890000
CMR,1953,total,4540000
CAF,1953,total,1367000
TCD,1953,total,2636000
COG,1953,total,880000
COD,1953,total,12945000
GNQ,1953,total,236000
GAB,1953,total,479000
STP,1953,total,58000
DZA,1953,total,9405000
EGY,1953,total,22309000
LBY,1953,total,1188000
MAR,1953,total,9837000
SDN,1953,total,6204000
TUN,1953,total,3839000
ESH,1953,total,19000
BWA,1953,total,449000
LSO,1953,total,766000
NAM,1953,total,515000
ZAF,1953,total,14641000
SWZ,1953,total,292000
BEN,1953,total,2274000
BFA,1953,total,4413000
CPV,1953,total,195000
CIV,1953,total,2853000
GMB,1953,total,284000
GHA,1953,total,5339000
GIN,1953,total,3228000
GNB,1953,total,560000
LBR,1953,total,974000
MLI,1953,total,4865000
MRT,1953,total,709000
NER,1953,total,2796000
NGA,1953,total,39686000
SHN,1953,total,5000
SEN,1953,total,2671000
SLE,1953,total,2108000
TGO,1953,total,1452000
CHN,1953,total,592568000
HKG,1953,total,2264000
MAC,1953,total,199000
TWN,1953,total,8440000
PRK,1953,total,9957000
JPN,1953,total,86869000
MNG,1953,total,823000
KOR,1953,total,20308000
KAZ,1953,total,7316000
KGZ,1953,total,1828000
TJK,1953,total,1690000
TKM,1953,total,1290000
UZB,1953,total,6879000
AFG,1953,total,8039000
BGD,1953,total,40300000
BTN,1953,total,189000
IND,1953,total,395160000
IRN,1953,total,18369000
MDV,1953,total,76000
NPL,1953,total,8984000
PAK,1953,total,39064000
LKA,1953,total,8417000
BRN,1953,total,57000
KHM,1953,total,4783000
IDN,1953,total,73867000
LAO,1953,total,1805000
MYS,1953,total,6640000
MMR,1953,total,18136000
PHL,1953,total,20671000
SGP,1953,total,1178000
THA,1953,total,22437000
TLS,1953,total,449000
VNM,1953,total,26647000
ARM,1953,total,1461000
AZE,1953,total,3143000
BHR,1953,total,123000
CYP,1953,total,514000
GEO,1953,total,3625000
IRQ,1953,total,6216000
ISR,1953,total,1546000
JOR,1953,total,611000
KWT,1953,total,168000
LBN,1953,total,1435000
OMN,1953,total,477000
QAT,1953,total,32000
SAU,1953,total,3372000
PSE,1953,total,949000
SYR,1953,total,3690000
TUR,1953,total,23081000
ARE,1953,total,73000
YEM,1953,total,4618000
BLR,1953,total,7723000
BGR,1953,total,7435000
CZE,1953,total,9206000
HUN,1953,total,9693000
POL,1953,total,26261000
MDA,1953,total,2491000
ROU,1953,total,17005000
RUS,1953,total,107729000
SVK,1953,total,3665000
UKR,1953,total,38916000
CHI,1953,total,104000
DNK,1953,total,4380000
EST,1953,total,1137000
FRO,1953,total,32000
FIN,1953,total,4144000
ISL,1953,total,150000
IRL,1953,total,2921000
IMN,1953,total,54000
LVA,1953,total,1962000
LTU,1953,total,2591000
NOR,1953,total,3367000
SWE,1953,total,7176000
GBR,1953,total,50797000
ALB,1953,total,1348000
AND,1953,total,8000
BIH,1953,total,2822000
HRV,1953,total,3960000
GIB,1953,total,23000
GRC,1953,total,7883000
VAT,1953,total,1000
ITA,1953,total,47766000
MLT,1953,total,313000
MNE,1953,total,421000
PRT,1953,total,8537000
SMR,1953,total,13000
SRB,1953,total,7063000
SVN,1953,total,1503000
ESP,1953,total,28659000
MKD,1953,total,1347000
AUT,1953,total,6935000
BEL,1953,total,8779000
FRA,1953,total,42724000
DEU,1953,total,70929000
LIE,1953,total,14000
LUX,1953,total,302000
MCO,1953,total,19000
NLD,1953,total,10432000
CHE,1953,total,4852000
AIA,1953,total,6000
ATG,1953,total,51000
ABW,1953,total,40000
BHS,1953,total,83000
BRB,1953,total,223000
VGB,1953,total,8000
BES,1953,total,7000
CYM,1953,total,6000
CUB,1953,total,6305000
CUW,1953,total,111000
DMA,1953,total,53000
DOM,1953,total,2601000
GRD,1953,total,78000
GLP,1953,total,223000
HTI,1953,total,3390000
JAM,1953,total,1495000
MTQ,1953,total,233000
MSR,1953,total,14000
PRI,1953,total,2221000
KNA,1953,total,47000
LCA,1953,total,86000
VCT,1953,total,70000
SXM,1953,total,2000
TTO,1953,total,695000
TCA,1953,total,5000
VIR,1953,total,29000
BLZ,1953,total,76000
CRI,1953,total,1049000
SLV,1953,total,2324000
GTM,1953,total,3414000
HND,1953,total,1677000
MEX,1953,total,30634000
NIC,1953,total,1414000
PAN,1953,total,929000
ARG,1953,total,18224000
BOL,1953,total,3249000
BRA,1953,total,59031000
CHL,1953,total,6610000
COL,1953,total,13438000
ECU,1953,total,3752000
FLK,1953,total,2000
GUF,1953,total,28000
GUY,1953,total,448000
PRY,1953,total,1591000
PER,1953,total,8340000
SUR,1953,total,236000
URY,1953,total,2313000
VEN,1953,total,6244000
BMU,1953,total,39000
CAN,1953,total,14884000
GRL,1953,total,25000
SPM,1953,total,5000
USA,1953,total,165988000
AUS,1953,total,8817000
NZL,1953,total,2040000
FJI,1953,total,314000
NCL,1953,total,65000
PNG,1953,total,1761000
SLB,1953,total,96000
VUT,1953,total,52000
GUM,1953,total,61000
KIR,1953,total,35000
MHL,1953,total,14000
FSM,1953,total,35000
NRU,1953,total,3000
MNP,1953,total,7000
PLW,1953,total,8000
ASM,1953,total,19000
COK,1953,total,15000
PYF,1953,total,66000
NIU,1953,total,5000
WSM,1953,total,89000
TKL,1953,total,2000
TON,1953,total,53000
TUV,1953,total,6000
WLF,1953,total,7000
BDI,1954,total,2487000
COM,1954,total,173000
DJI,1954,total,68000
ERI,1954,total,1224000
ETH,1954,total,19560000
KEN,1954,total,6783000
MDG,1954,total,4444000
MWI,1954,total,3187000
MUS,1954,total,553000
MYT,1954,total,18000
MOZ,1954,total,6579000
REU,1954,total,284000
RWA,1954,total,2449000
SYC,1954,total,39000
SOM,1954,total,2443000
SSD,1954,total,2686000
UGA,1954,total,5748000
TZA,1954,total,8503000
ZMB,1954,total,2562000
ZWE,1954,total,3104000
AGO,1954,total,5004000
CMR,1954,total,4621000
CAF,1954,total,1383000
TCD,1954,total,2685000
COG,1954,total,9e+05
COD,1954,total,13223000
GNQ,1954,total,237000
GAB,1954,total,481000
STP,1954,total,58000
DZA,1954,total,9610000
EGY,1954,total,22902000
LBY,1954,total,1215000
MAR,1954,total,10163000
SDN,1954,total,6374000
TUN,1954,total,3894000
ESH,1954,total,20000
BWA,1954,total,459000
LSO,1954,total,776000
NAM,1954,total,526000
ZAF,1954,total,15002000
SWZ,1954,total,299000
BEN,1954,total,2287000
BFA,1954,total,4463000
CPV,1954,total,197000
CIV,1954,total,2939000
GMB,1954,total,293000
GHA,1954,total,5504000
GIN,1954,total,3271000
GNB,1954,total,567000
LBR,1954,total,991000
MLI,1954,total,4919000
MRT,1954,total,727000
NER,1954,total,2875000
NGA,1954,total,40370000
SHN,1954,total,5000
SEN,1954,total,2738000
SLE,1954,total,2132000
TGO,1954,total,1462000
CHN,1954,total,601971000
HKG,1954,total,2374000
MAC,1954,total,195000
TWN,1954,total,8725000
PRK,1954,total,9972000
JPN,1954,total,87980000
MNG,1954,total,838000
KOR,1954,total,20881000
KAZ,1954,total,7636000
KGZ,1954,total,1864000
TJK,1954,total,1743000
TKM,1954,total,1326000
UZB,1954,total,7085000
AFG,1954,total,8150000
BGD,1954,total,41169000
BTN,1954,total,193000
IND,1954,total,402077000
IRN,1954,total,18822000
MDV,1954,total,78000
NPL,1954,total,9140000
PAK,1954,total,39712000
LKA,1954,total,8591000
BRN,1954,total,60000
KHM,1954,total,4914000
IDN,1954,total,75540000
LAO,1954,total,1848000
MYS,1954,total,6838000
MMR,1954,total,18492000
PHL,1954,total,21416000
SGP,1954,total,1240000
THA,1954,total,23060000
TLS,1954,total,455000
VNM,1954,total,27370000
ARM,1954,total,1510000
AZE,1954,total,3233000
BHR,1954,total,128000
CYP,1954,total,521000
GEO,1954,total,3667000
IRQ,1954,total,6360000
ISR,1954,total,1635000
JOR,1954,total,644000
KWT,1954,total,174000
LBN,1954,total,1482000
OMN,1954,total,487000
QAT,1954,total,34000
SAU,1954,total,3465000
PSE,1954,total,969000
SYR,1954,total,3798000
TUR,1954,total,23669000
ARE,1954,total,77000
YEM,1954,total,4692000
BLR,1954,total,7755000
BGR,1954,total,7497000
CZE,1954,total,9291000
HUN,1954,total,9769000
POL,1954,total,26765000
MDA,1954,total,2557000
ROU,1954,total,17244000
RUS,1954,total,109538000
SVK,1954,total,3742000
UKR,1954,total,39472000
CHI,1954,total,105000
DNK,1954,total,4412000
EST,1954,total,1149000
FRO,1954,total,32000
FIN,1954,total,4192000
ISL,1954,total,154000
IRL,1954,total,2913000
IMN,1954,total,54000
LVA,1954,total,1980000
LTU,1954,total,2609000
NOR,1954,total,3399000
SWE,1954,total,7220000
GBR,1954,total,50945000
ALB,1954,total,1383000
AND,1954,total,9000
BIH,1954,total,2879000
HRV,1954,total,3995000
GIB,1954,total,23000
GRC,1954,total,7949000
VAT,1954,total,1000
ITA,1954,total,48084000
MLT,1954,total,313000
MNE,1954,total,434000
PRT,1954,total,8604000
SMR,1954,total,13000
SRB,1954,total,7153000
SVN,1954,total,1514000
ESP,1954,total,28888000
MKD,1954,total,1371000
AUT,1954,total,6943000
BEL,1954,total,8832000
FRA,1954,total,43118000
DEU,1954,total,71233000
LIE,1954,total,15000
LUX,1954,total,304000
MCO,1954,total,19000
NLD,1954,total,10570000
CHE,1954,total,4913000
AIA,1954,total,6000
ATG,1954,total,53000
ABW,1954,total,42000
BHS,1954,total,85000
BRB,1954,total,225000
VGB,1954,total,8000
BES,1954,total,7000
CYM,1954,total,6000
CUB,1954,total,6424000
CUW,1954,total,115000
DMA,1954,total,53000
DOM,1954,total,2689000
GRD,1954,total,79000
GLP,1954,total,229000
HTI,1954,total,3451000
JAM,1954,total,1520000
MTQ,1954,total,239000
MSR,1954,total,14000
PRI,1954,total,2233000
KNA,1954,total,48000
LCA,1954,total,86000
VCT,1954,total,72000
SXM,1954,total,2000
