ISO3,year,area,population
BDI,1950,total,2309000
COM,1950,total,160000
DJI,1950,total,62000
ERI,1950,total,1142000
ETH,1950,total,18128000
KEN,1950,total,6077000
MDG,1950,total,4084000
MWI,1950,total,2954000
MUS,1950,total,494000
MYT,1950,total,15000
MOZ,1950,total,6153000
REU,1950,total,248000
RWA,1950,total,2186000
SYC,1950,total,36000
SOM,1950,total,2264000
SSD,1950,total,2583000
UGA,1950,total,5158000
TZA,1950,total,7650000
ZMB,1950,total,2311000
ZWE,1950,total,2746000
AGO,1950,total,4548000
CMR,1950,total,4307000
CAF,1950,total,1326000
TCD,1950,total,2503000
COG,1950,total,827000
COD,1950,total,12184000
GNQ,1950,total,226000
GAB,1950,total,473000
STP,1950,total,60000
DZA,1950,total,8872000
EGY,1950,total,20713000
LBY,1950,total,1125000
MAR,1950,total,8986000
SDN,1950,total,5734000
TUN,1950,total,3605000
ESH,1950,total,13000
BWA,1950,total,412000
LSO,1950,total,734000
NAM,1950,total,485000
ZAF,1950,total,13628000
SWZ,1950,total,273000
BEN,1950,total,2255000
BFA,1950,total,4284000
CPV,1950,total,178000
CIV,1950,total,2630000
GMB,1950,total,272000
GHA,1950,total,4981000
GIN,1950,total,3094000
GNB,1950,total,536000
LBR,1950,total,930000
MLI,1950,total,4709000
MRT,1950,total,660000
NER,1950,total,2559000
NGA,1950,total,37860000
SHN,1950,total,5000
SEN,1950,total,2486000
SLE,1950,total,2041000
TGO,1950,total,1395000
CHN,1950,total,554420000
HKG,1950,total,1974000
MAC,1950,total,196000
TWN,1950,total,7623000
PRK,1950,total,10549000
JPN,1950,total,82802000
MNG,1950,total,780000
KOR,1950,total,19211000
KAZ,1950,total,6703000
KGZ,1950,total,1740000
TJK,1950,total,1532000
TKM,1950,total,1210000
UZB,1950,total,6264000
AFG,1950,total,7752000
BGD,1950,total,37895000
BTN,1950,total,177000
IND,1950,total,376325000
IRN,1950,total,17119000
MDV,1950,total,74000
NPL,1950,total,8483000
PAK,1950,total,37543000
LKA,1950,total,7971000
BRN,1950,total,48000
KHM,1950,total,4433000
IDN,1950,total,69543000
LAO,1950,total,1683000
MYS,1950,total,6110000
MMR,1950,total,17151000
PHL,1950,total,18581000
SGP,1950,total,1022000
THA,1950,total,20710000
TLS,1950,total,434000
VNM,1950,total,24810000
ARM,1950,total,1354000
AZE,1950,total,2928000
BHR,1950,total,115000
CYP,1950,total,494000
GEO,1950,total,3527000
IRQ,1950,total,5720000
ISR,1950,total,1258000
JOR,1950,total,481000
KWT,1950,total,153000
LBN,1950,total,1335000
OMN,1950,total,456000
QAT,1950,total,25000
SAU,1950,total,3121000
PSE,1950,total,932000
SYR,1950,total,3413000
TUR,1950,total,21409000
ARE,1950,total,70000
YEM,1950,total,4402000
BLR,1950,total,7745000
BGR,1950,total,7251000
CZE,1950,total,8902000
HUN,1950,total,9338000
POL,1950,total,24824000
MDA,1950,total,2341000
ROU,1950,total,16237000
RUS,1950,total,102799000
SVK,1950,total,3436000
UKR,1950,total,37298000
CHI,1950,total,102000
DNK,1950,total,4269000
EST,1950,total,1101000
FRO,1950,total,31000
FIN,1950,total,4009000
ISL,1950,total,143000
IRL,1950,total,2913000
IMN,1950,total,55000
LVA,1950,total,1926000
LTU,1950,total,2567000
NOR,1950,total,3266000
SWE,1950,total,7010000
GBR,1950,total,50616000
ALB,1950,total,1263000
AND,1950,total,6000
BIH,1950,total,2662000
HRV,1950,total,3850000
GIB,1950,total,22000
GRC,1950,total,7668000
VAT,1950,total,1000
ITA,1950,total,46599000
MLT,1950,total,312000
MNE,1950,total,395000
PRT,1950,total,8417000
SMR,1950,total,13000
SRB,1950,total,6732000
SVN,1950,total,1473000
ESP,1950,total,28070000
MKD,1950,total,1255000
AUT,1950,total,6936000
BEL,1950,total,8637000
FRA,1950,total,41880000
DEU,1950,total,69967000
LIE,1950,total,14000
LUX,1950,total,296000
MCO,1950,total,20000
NLD,1950,total,10042000
CHE,1950,total,4668000
AIA,1950,total,5000
ATG,1950,total,46000
ABW,1950,total,38000
BHS,1950,total,79000
BRB,1950,total,211000
VGB,1950,total,8000
BES,1950,total,7000
CYM,1950,total,6000
CUB,1950,total,5920000
CUW,1950,total,1e+05
DMA,1950,total,51000
DOM,1950,total,2364000
GRD,1950,total,77000
GLP,1950,total,210000
HTI,1950,total,3221000
JAM,1950,total,1403000
MTQ,1950,total,222000
MSR,1950,total,13000
PRI,1950,total,2218000
KNA,1950,total,46000
LCA,1950,total,83000
VCT,1950,total,67000
SXM,1950,total,1000
TTO,1950,total,646000
TCA,1950,total,5000
VIR,1950,total,27000
BLZ,1950,total,69000
CRI,1950,total,960000
SLV,1950,total,2200000
GTM,1950,total,3115000
HND,1950,total,1547000
MEX,1950,total,28013000
NIC,1950,total,1295000
PAN,1950,total,859000
ARG,1950,total,17151000
BOL,1950,total,3090000
BRA,1950,total,53974000
CHL,1950,total,6188000
COL,1950,total,12341000
ECU,1950,total,3470000
FLK,1950,total,2000
GUF,1950,total,26000
GUY,1950,total,407000
PRY,1950,total,1473000
PER,1950,total,7727000
SUR,1950,total,215000
URY,1950,total,2238000
VEN,1950,total,5482000
BMU,1950,total,37000
CAN,1950,total,13733000
GRL,1950,total,23000
SPM,1950,total,5000
USA,1950,total,158804000
AUS,1950,total,8178000
NZL,1950,total,1908000
FJI,1950,total,289000
NCL,1950,total,65000
PNG,1950,total,1674000
SLB,1950,total,89000
VUT,1950,total,48000
GUM,1950,total,60000
KIR,1950,total,33000
MHL,1950,total,13000
FSM,1950,total,32000
NRU,1950,total,3000
MNP,1950,total,7000
