ISO3,Region
MSR,Latin America and the Caribbean
NIU,Oceania
PSE,Asia
SHN,Africa
TKL,Oceania
WLF,Oceania
XKX,Europe
TCD,Africa
CAF,Africa
GNB,Africa
ERI,Africa
COD,Africa
SDN,Africa
NER,Africa
AFG,Asia
ZWE,Africa
LBR,Africa
SOM,Africa
YEM,Asia
MLI,Africa
COG,Africa
HTI,Latin America and the Caribbean
MDG,Africa
UGA,Africa
BDI,Africa
BGD,Asia
MWI,Africa
ETH,Africa
BFA,Africa
PNG,Oceania
COM,Africa
NGA,Africa
MOZ,Africa
MMR,Asia
SLE,Africa
AGO,Africa
NRU,Oceania
SYR,Asia
BEN,Africa
SSD,Africa
FSM,Oceania
KEN,Africa
KHM,Asia
CMR,Africa
GIN,Africa
PAK,Asia
TZA,Africa
GMB,Africa
MRT,Africa
TUV,Oceania
CIV,Africa
SWZ,Africa
GNQ,Africa
ZMB,Africa
VEN,Latin America and the Caribbean
LAO,Asia
VCT,Latin America and the Caribbean
HND,Latin America and the Caribbean
VUT,Oceania
KIR,Oceania
SEN,Africa
MHL,Oceania
NIC,Latin America and the Caribbean
TKM,Asia
BOL,Latin America and the Caribbean
TGO,Africa
LSO,Africa
TON,Oceania
PLW,Oceania
STP,Africa
NPL,Asia
LBY,Africa
RWA,Africa
SLB,Oceania
DJI,Africa
GUY,Latin America and the Caribbean
IRQ,Asia
GTM,Latin America and the Caribbean
TLS,Asia
LBN,Asia
PRK,Asia
GAB,Africa
BLZ,Latin America and the Caribbean
PHL,Asia
IND,Asia
GHA,Africa
ECU,Latin America and the Caribbean
EGY,Africa
NAM,Africa
SLV,Latin America and the Caribbean
MDV,Asia
CUB,Latin America and the Caribbean
LKA,Asia
TJK,Asia
SUR,Latin America and the Caribbean
DOM,Latin America and the Caribbean
IDN,Asia
DZA,Africa
WSM,Oceania
VNM,Asia
ZAF,Africa
MEX,Latin America and the Caribbean
BTN,Asia
PRY,Latin America and the Caribbean
COL,Latin America and the Caribbean
BRA,Latin America and the Caribbean
BWA,Africa
ATG,Latin America and the Caribbean
PER,Latin America and the Caribbean
ARG,Latin America and the Caribbean
JAM,Latin America and the Caribbean
UZB,Asia
PAN,Latin America and the Caribbean
BIH,Europe
ALB,Europe
IRN,Asia
AZE,Asia
MDA,Europe
SRB,Europe
JOR,Asia
CPV,Africa
FJI,Oceania
KGZ,Asia
UKR,Europe
THA,Asia
TUN,Africa
MAR,Africa
MNG,Asia
GRD,Latin America and the Caribbean
DMA,Latin America and the Caribbean
CRI,Latin America and the Caribbean
LCA,Latin America and the Caribbean
MNE,Europe
MKD,Europe
ARM,Asia
MYS,Asia
TUR,Asia
MUS,Africa
GEO,Asia
BLR,Europe
CHN,Asia
KAZ,Asia
CHL,Latin America and the Caribbean
COK,Asia
SYC,Africa
URY,Latin America and the Caribbean
