iso3,year,CCA_USD,CCM_USD,Dual_Purpose_USD,Total_Climate_USD,Total_ODA_USD,protracted_crisis,Vulnerability_Score_new,countryname,region,CCA_Share,CCM_Share,Dual_Share,Total_Climate_Share,Vulnerability_Score
AFG,2017,8.411084,12.559901,49.887653,70.858638,4244.04648,yes,67.4466266726693,Afghanistan,South Asia,0.00198185482643442,0.0029594164576633,0.0117547376625338,0.0166960089466315,67.4466266726693
AFG,2018,7.263413,21.403143,7.417887,36.084443,4060.994587,yes,67.5664143227486,Afghanistan,South Asia,0.00178857982801837,0.00527041899255799,0.00182661829290441,0.00888561711348078,67.5664143227486
AFG,2019,6.225349,19.079493,0.032987,25.337829,4730.761939,yes,67.0093552951614,Afghanistan,South Asia,0.00131592945920165,0.00403306977734607,6.97287253625214e-06,0.00535597210908397,67.0093552951614
AFG,2020,8.26499,10.441165,5.519869,24.226024,4461.951561,yes,67.2776645932997,Afghanistan,South Asia,0.00185232624940188,0.00234004445302852,0.00123709747282933,0.00542946817525973,67.2776645932997
AFG,2021,6.060426,12.99767,0.632592,19.690688,4662.554321,yes,66.993369236061,Afghanistan,South Asia,0.00129980812721131,0.0027876715433553,0.000135674987667345,0.00422315465823395,66.993369236061
AFG,2022,6.815498,1.546809,2.375437,10.737744,3996.472472,yes,66.792543724484,Afghanistan,South Asia,0.00170537844255167,0.000387043576763563,0.000594383426044527,0.00268680544535976,66.792543724484
AGO,2017,1.02612,0,0.304486,1.330606,324.602863,"",63.2953948924481,Angola,Sub-Saharan Africa,0.00316115511279394,0,0.000938026230532662,0.0040991813433266,63.2953948924481
AGO,2018,0.85101,0.023066,0,0.874076,254.983766,"",62.8369743573057,Angola,Sub-Saharan Africa,0.00333750659247852,9.04606609347828e-05,0,0.0034279672534133,62.8369743573057
AGO,2019,1.526206,0.668908,0.031192,2.226306,234.918705,"",62.6521403066713,Angola,Sub-Saharan Africa,0.00649674107474754,0.00284740204063359,0.000132777847553689,0.00947692096293482,62.6521403066713
AGO,2020,2.47042,2.120364,0.657658,5.248442,191.915788,"",62.6411206544474,Angola,Sub-Saharan Africa,0.0128724167289457,0.0110484083779496,0.00342680509432606,0.0273476302012214,62.6411206544474
AGO,2021,4.490788,2.707072,0.466549,7.664409,294.043491,yes,62.1294131332292,Angola,Sub-Saharan Africa,0.0152725298721202,0.00920636600658506,0.00158666664721376,0.026065562525919,62.1294131332292
AGO,2022,1.706788,0.020551,0.332664,2.060003,232.75416,yes,61.9204838422816,Angola,Sub-Saharan Africa,0.00733300749597773,8.82948773074561e-05,0.00142925050190295,0.00885055287518814,61.9204838422816
ALB,2017,9.678361,2.087333,0.480236,12.24593,298.171546,"",50.4248473184656,Albania,Europe & Central Asia,0.0324590361818093,0.0070004432951493,0.00161060304526844,0.041070082522227,50.4248473184656
ALB,2018,3.114608,37.951742,4.042645,45.108995,468.608748,"",49.8994101480554,Albania,Europe & Central Asia,0.00664649990699704,0.0809881210326872,0.00862690894537036,0.0962615298850546,49.8994101480554
ALB,2019,2.602194,2.672549,0.432686,5.707429,325.063856,"",49.9742931448271,Albania,Europe & Central Asia,0.00800517791187464,0.00822161230992104,0.00133108000786159,0.0175578702296573,49.9742931448271
ALB,2020,3.615562,4.127436,4.874787,12.617785,448.207191,"",49.6553928021693,Albania,Europe & Central Asia,0.00806672019682076,0.00920876791555092,0.0108761909623177,0.0281516790746894,49.6553928021693
ALB,2021,0.877699,4.539815,5.906967,11.324481,730.841728,"",48.8122082814502,Albania,Europe & Central Asia,0.00120094264787245,0.00621176217239747,0.00808241616986599,0.0154951209901359,48.8122082814502
ALB,2022,1.407655,7.320846,7.250034,15.978535,456.439705,"",48.2428200099116,Albania,Europe & Central Asia,0.00308398893562514,0.016039020969922,0.0158838810922464,0.0350068909977935,48.2428200099116
ARG,2017,0.345768,0.723321,0,1.069089,196.027272,"",50.9708317769345,Argentina,Latin America & Caribbean,0.00176387701809165,0.00368989984209952,0,0.00545377686019117,50.9708317769345
ARG,2018,1.92503,0.030688,0.023957,1.979675,202.548235,"",49.77879646836,Argentina,Latin America & Caribbean,0.00950405714470926,0.000151509589802153,0.000118277999312115,0.00977384473382353,49.77879646836
ARG,2019,2.738375,0.15955,0.016274,2.914199,310.068205,"",49.7863761474204,Argentina,Latin America & Caribbean,0.00883152466406544,0.000514564206929892,5.24852265971611e-05,0.00939857409759249,49.7863761474204
ARG,2020,3.143963,0.092776,0.01779,3.254529,137.201604,"",49.4237201786472,Argentina,Latin America & Caribbean,0.0229149143183487,0.000676202007084407,0.00012966320714443,0.0237207795325775,49.4237201786472
ARG,2021,0.190917,0.393605,0.107675,0.692197,189.954467,"",49.7844171192816,Argentina,Latin America & Caribbean,0.00100506717749365,0.00207210183691021,0.000566846369556553,0.00364401538396041,49.7844171192816
ARG,2022,7.704352,0.708874,0.301723,8.714949,433.311168,"",49.7938977930229,Argentina,Latin America & Caribbean,0.0177801833162075,0.00163594675685811,0.000696319463430031,0.0201124495364957,49.7938977930229
ARM,2017,32.600749,8.032106,0.037943,40.670798,376.686227,"",43.6718714934755,Armenia,Europe & Central Asia,0.0865461667118506,0.0213230679124352,0.000100728397483989,0.10796996302177,43.6718714934755
ARM,2018,1.053566,13.611413,0.037178,14.702157,273.577924,"",43.4777914406316,Armenia,Europe & Central Asia,0.00385106365526774,0.0497533309741761,0.000135895467939877,0.0537402900973838,43.4777914406316
ARM,2019,5.076411,6.500914,1.059388,12.636713,629.59263,"",42.9699702043598,Armenia,Europe & Central Asia,0.0080630089332526,0.0103255878328817,0.00168265629157698,0.0200712530577113,42.9699702043598
ARM,2020,13.927634,7.308854,0.004573,21.241061,292.639054,"",43.398104682912,Armenia,Europe & Central Asia,0.0475932170010364,0.0249756616558773,1.56267590996245e-05,0.0725845054160132,43.398104682912
ARM,2021,9.734355,26.431066,1.107198,37.272619,338.32389,"",43.0793937123129,Armenia,Europe & Central Asia,0.0287722956838785,0.0781235578723099,0.00327259774649671,0.110168451302685,43.0793937123129
ARM,2022,12.286394,39.738967,0.958446,52.983807,483.353689,"",43.0492422379358,Armenia,Europe & Central Asia,0.0254190549893579,0.0822150899111065,0.00198290821361663,0.109617053114081,43.0492422379358
ATG,2017,1.70484,0.813896,0,2.518736,11.775087,"",51.7094773256762,Antigua and Barbuda,Latin America & Caribbean,0.144783643636773,0.0691201687087323,0,0.213903812345505,51.7094773256762
ATG,2018,0,0.179482,0.009265,0.188747,18.369221,"",51.1952486770856,Antigua and Barbuda,Latin America & Caribbean,0,0.00977080084125505,0.000504376315141508,0.0102751771563966,51.1952486770856
ATG,2019,9.322453,0.496116,0,9.818569,29.994305,"",50.704549321029,Antigua and Barbuda,Latin America & Caribbean,0.310807434944734,0.0165403399078592,0,0.327347774852593,50.704549321029
ATG,2020,2.391562,0.278828,0.482225,3.152615,26.615326,"",50.938378060456,Antigua and Barbuda,Latin America & Caribbean,0.0898565736147662,0.0104762196036975,0.0181183202490174,0.118451113467481,50.938378060456
ATG,2021,0,0,0.055365,0.055365,5.722032,"",51.145127222494,Antigua and Barbuda,Latin America & Caribbean,0,0,0.00967575854172084,0.00967575854172084,51.145127222494
ATG,2022,0,0,0,0,0,,,Antigua and Barbuda,Latin America & Caribbean,,,,,
AZE,2017,0.012934,0,0.04404,0.056974,253.170268,"",49.2200709756154,Azerbaijan,Europe & Central Asia,5.10881475229153e-05,0,0.000173954075839585,0.0002250422233625,49.2200709756154
