iso3,year,CCA_USD,CCM_USD,Dual_Purpose_USD,Total_Climate_USD,Total_ODA_USD,protracted_crisis,Vulnerability_Score_new,countryname,region,CCA_Share,CCM_Share,Dual_Share,Total_Climate_Share,Vulnerability_Score
AZE,2018,0.025335,0.004857,0.002192,0.032384,225.808131,"",49.014161336082,Azerbaijan,Europe & Central Asia,0.000112197022701543,2.15094114569329e-05,9.70735637504568e-06,0.000143413790533522,49.014161336082
AZE,2019,0,55.09413,0.001667,55.095797,256.313053,"",47.9635640051375,Azerbaijan,Europe & Central Asia,0,0.214948592571288,6.50376553393869e-06,0.214955096336822,47.9635640051375
AZE,2020,0.029157,35.508692,0,35.537849,265.42,"",48.7275150549487,Azerbaijan,Europe & Central Asia,0.000109852309547133,0.133783030668375,0,0.133892882977922,48.7275150549487
AZE,2021,0.256766,38.32354,0.003942,38.584248,192.939278,"",48.0443529879812,Azerbaijan,Europe & Central Asia,0.00133081248495187,0.198630058105639,2.0431298597479e-05,0.199981301889188,48.0443529879812
AZE,2022,0.242528,0.668431,0,0.910959,166.596715,"",48.2496553466805,Azerbaijan,Europe & Central Asia,0.00145577900500619,0.00401226998983744,0,0.00546804899484363,48.2496553466805
BDI,2017,3.3863,0.073581,4.7e-05,3.459928,508.777375,"",64.6720656255744,Burundi,Sub-Saharan Africa,0.00665575980063972,0.000144623176295919,9.23783216578764e-08,0.0068004753552573,64.6720656255744
BDI,2018,3.829904,0.017056,0,3.84696,499.396976,"",64.6670760333076,Burundi,Sub-Saharan Africa,0.00766905725115965,3.41531903869598e-05,0,0.00770321044154661,64.6670760333076
BDI,2019,3.708202,0,8.750632,12.458834,641.360504,"",64.6315058804637,Burundi,Sub-Saharan Africa,0.00578177480040149,0,0.0136438585560298,0.0194256333564313,64.6315058804637
BDI,2020,2.542276,1.729283,0.517155,4.788714,531.618272,yes,64.7530354407541,Burundi,Sub-Saharan Africa,0.00478214563701076,0.00325286599629894,0.000972793877182611,0.00900780551049231,64.7530354407541
BDI,2021,6.550015,0.730303,6.35611,13.636428,606.37849,yes,64.3897059109406,Burundi,Sub-Saharan Africa,0.0108018590830951,0.00120436824861647,0.0104820835580761,0.0224883108897877,64.3897059109406
BDI,2022,3.335022,5.11368,5.013129,13.461831,616.827952,yes,64.1004114058676,Burundi,Sub-Saharan Africa,0.00540672968724349,0.00829028578134215,0.00812727274071393,0.0218242882092996,64.1004114058676
BEN,2017,19.216022,9.14107,1.45788,29.814972,805.523406,"",63.2196651924212,Benin,Sub-Saharan Africa,0.0238553241989842,0.0113479880682697,0.00180985429987617,0.0370131665671301,63.2196651924212
BEN,2018,21.129032,0.575237,0.568189,22.272458,653.588966,"",62.6946212213594,Benin,Sub-Saharan Africa,0.0323277060953321,0.000880120427247237,0.000869336891467657,0.034077163414047,62.6946212213594
BEN,2019,9.089184,0.016847,0.484016,9.590047,719.334439,"",62.7770125802343,Benin,Sub-Saharan Africa,0.012635546843323,2.34202605722872e-05,0.000672866435635789,0.0133318335395311,62.7770125802343
BEN,2020,49.956214,8.83763,3.035555,61.829399,1141.806579,"",62.2437159335164,Benin,Sub-Saharan Africa,0.0437519058996419,0.0077400412316244,0.00265855448359612,0.0541505016148624,62.2437159335164
BEN,2021,29.626544,9.51443,1.555484,40.696458,866.573341,"",62.1746355961004,Benin,Sub-Saharan Africa,0.034188155345065,0.0109793707581872,0.00179498252070046,0.0469625086239527,62.1746355961004
BEN,2022,38.201496,16.511943,5.305586,60.019025,927.711373,"",61.6594815582014,Benin,Sub-Saharan Africa,0.0411782124395709,0.0177985777479522,0.0057190050207566,0.0646957952082797,61.6594815582014
BFA,2017,21.433867,20.277228,13.259158,54.970253,1085.771846,yes,61.3089017573471,Burkina Faso,Sub-Saharan Africa,0.0197406730327027,0.0186754041143189,0.0122117349504382,0.0506278120974597,61.3089017573471
BFA,2018,14.363003,7.107208,1.386831,22.857042,1339.893527,yes,61.1995873836048,Burkina Faso,Sub-Saharan Africa,0.0107195107003454,0.00530430803402187,0.00103503074837976,0.017058849482747,61.1995873836048
BFA,2019,28.020497,11.786746,7.792971,47.600214,1327.498014,yes,61.4872010893328,Burkina Faso,Sub-Saharan Africa,0.0211077505988646,0.00887891799136055,0.0058704200818488,0.0358570886720739,61.4872010893328
BFA,2020,44.362352,10.196536,1.976004,56.534892,1914.217793,yes,61.8643730668984,Burkina Faso,Sub-Saharan Africa,0.0231751852700494,0.00532673765612626,0.00103227752203848,0.0295342004482141,61.8643730668984
BFA,2021,48.486315,17.599424,2.53437,68.620109,1663.829809,yes,61.8423730274427,Burkina Faso,Sub-Saharan Africa,0.0291413909870634,0.0105776587874559,0.0015232146859559,0.0412422644604753,61.8423730274427
BFA,2022,31.897903,25.682802,6.658191,64.238896,1556.612606,yes,62.0105413095008,Burkina Faso,Sub-Saharan Africa,0.0204918698955982,0.0164991609993424,0.00427735903868172,0.0412683899336223,62.0105413095008
BGD,2017,241.680272,295.774545,21.098312,558.553129,4670.075762,"",63.0503569872922,Bangladesh,South Asia,0.0517508246796618,0.0633339928672446,0.0045177665363965,0.119602584083303,63.0503569872922
BGD,2018,320.441282,130.7345,65.43995,516.615732,5096.195566,"",62.6988307969554,Bangladesh,South Asia,0.0628785292577604,0.0256533522520631,0.0128409416696235,0.101372823179447,62.6988307969554
BGD,2019,72.480825,57.842975,1.903423,132.227223,5462.772646,"",62.6883092267024,Bangladesh,South Asia,0.0132681386718652,0.0105885744746039,0.000348435331899405,0.0242051484783685,62.6883092267024
BGD,2020,61.516931,75.607409,3.052512,140.176852,6231.325425,yes,62.3682484349753,Bangladesh,South Asia,0.00987220644153727,0.0121334393316491,0.000489865605117229,0.0224955113783036,62.3682484349753
BGD,2021,35.569305,170.456255,2.111882,208.137442,5946.580521,yes,63.7865756171645,Bangladesh,South Asia,0.00598147201982535,0.028664583687725,0.000355142252348558,0.0350011979598989,63.7865756171645
BGD,2022,48.677533,644.217048,3.114086,696.008667,6468.446121,yes,63.9716213722652,Bangladesh,South Asia,0.00752538277190977,0.0995937874335121,0.000481427214781928,0.107600597420204,63.9716213722652
BIH,2017,0.407489,62.445608,1.856412,64.709509,639.138657,"",48.729457110423,Bosnia and Herzegovina,Europe & Central Asia,0.000637559621119898,0.0977027556009651,0.00290455283789852,0.101244868059983,48.729457110423
BIH,2018,0.292466,22.005109,0.338672,22.636247,528.850516,"",48.6281936607103,Bosnia and Herzegovina,Europe & Central Asia,0.000553022056614577,0.0416093174427384,0.000640392681398084,0.0428027321807511,48.6281936607103
BIH,2019,0.065,20.405411,0.594228,21.064639,719.685962,"",49.129158770546,Bosnia and Herzegovina,Europe & Central Asia,9.03171708662563e-05,0.0283532152597413,0.000825676797069442,0.029269209227677,49.129158770546
BIH,2020,0.015123,45.108722,0.590002,45.713847,648.07258,"",49.3017420283412,Bosnia and Herzegovina,Europe & Central Asia,2.33353492598005e-05,0.0696044291829165,0.000910394943726828,0.0705381594759032,49.3017420283412
BIH,2021,0,43.210798,0.222161,43.432959,754.726297,"",49.1296379269324,Bosnia and Herzegovina,Europe & Central Asia,0,0.0572536006387492,0.000294359691563788,0.057547960330313,49.1296379269324
BIH,2022,0.025171,8.123403,0.001693,8.150267,533.380541,"",49.0245415681691,Bosnia and Herzegovina,Europe & Central Asia,4.71914478784857e-05,0.0152300325481878,3.17409404704924e-06,0.0152803980901133,49.0245415681691
BLR,2017,0.021186,8.45792,0,8.479106,136.775741,"",41.8011464786743,Belarus,Europe & Central Asia,0.000154895889030497,0.0618378664093657,0,0.0619927622983962,41.8011464786743
BLR,2018,0.014679,3.860505,0,3.875184,122.930089,"",41.4534409173096,Belarus,Europe & Central Asia,0.000119409333544044,0.0314040690233292,0,0.0315234783568732,41.4534409173096
BLR,2019,0,5.536364,0,5.536364,220.266273,"",40.8215160573637,Belarus,Europe & Central Asia,0,0.0251348693769382,0,0.0251348693769382,40.8215160573637
BLR,2020,0.049328,1.253956,0.010967,1.314251,329.473277,"",42.1464289680501,Belarus,Europe & Central Asia,0.000149717756927522,0.00380594144513881,3.32864628653935e-05,0.00398894566493173,42.1464289680501
BLR,2021,0.081219,2.918849,0,3.000068,158.516399,"",42.36171665574,Belarus,Europe & Central Asia,0.000512369701257218,0.0184135459700923,0,0.0189259156713496,42.36171665574
BLR,2022,0,0.101598,0,0.101598,138.257471,"",42.9415157560132,Belarus,Europe & Central Asia,0,0.000734846365011262,0,0.000734846365011262,42.9415157560132
BLZ,2017,0.406279,0.4896,0,0.895879,44.648586,"",56.4821046416184,Belize,Latin America & Caribbean,0.00909948189624639,0.0109656328198165,0,0.0200651147160629,56.4821046416184
BLZ,2018,1.405933,0.400087,0.025495,1.831515,40.095649,"",56.4620171050318,Belize,Latin America & Caribbean,0.035064477943729,0.00997831460465947,0.000635854528754479,0.045678647077143,56.4620171050318
BLZ,2019,1.716695,0.514327,0.392332,2.623354,53.881259,"",56.7043743338566,Belize,Latin America & Caribbean,0.0318607068925394,0.00954556388520914,0.00728141857264323,0.0486876893503918,56.7043743338566
BLZ,2020,0.525593,0.52589,0.705041,1.756524,76.536999,"",56.463959504273,Belize,Latin America & Caribbean,0.0068671754428208,0.00687105591898109,0.00921176697821664,0.0229499983400185,56.463959504273
BLZ,2021,0.407525,0.179335,0,0.58686,81.213526,"",56.7549939555725,Belize,Latin America & Caribbean,0.00501794491720505,0.00220819128084649,0,0.00722613619805154,56.7549939555725
BLZ,2022,0.244816,0.031717,0,0.276533,38.827361,"",56.3243870857935,Belize,Latin America & Caribbean,0.00630524438681269,0.000816872411184474,0,0.00712211679799716,56.3243870857935
BOL,2017,156.067498,29.868563,9.903076,195.839137,1077.840114,"",58.0619674327209,Bolivia,Latin America & Caribbean,0.144796520349214,0.0277114969205906,0.00918788962423048,0.181695906894035,58.0619674327209
BOL,2018,42.858252,24.91826,2.114587,69.891099,828.419654,"",57.9673411901368,Bolivia,Latin America & Caribbean,0.0517349531642087,0.0300792718758939,0.0025525553260232,0.0843667803661259,57.9673411901368
BOL,2019,59.432942,134.09784,3.465594,196.996376,838.0238,"",58.234895030446,Bolivia,Latin America & Caribbean,0.0709203509494599,0.160016744154522,0.00413543624894663,0.235072531352928,58.234895030446
BOL,2020,34.895592,28.348709,1.98923,65.233531,454.638244,"",58.1310086671625,Bolivia,Latin America & Caribbean,0.0767546339546394,0.0623544309659968,0.00437541281722881,0.143484477737865,58.1310086671625
BOL,2021,28.823311,12.873922,2.717536,44.414769,617.788120000001,"",58.3046544640839,Bolivia,Latin America & Caribbean,0.0466556576063651,0.020838733512713,0.00439881556803002,0.0718932066871081,58.3046544640839
BOL,2022,43.445642,5.635672,4.530616,53.61193,505.965597,"",58.3543916914497,Bolivia,Latin America & Caribbean,0.085866790662449,0.0111384490040733,0.00895439537166793,0.10595963503819,58.3543916914497
BRA,2017,4.421284,182.11196,10.744743,197.277987,941.338202,"",50.8929705547275,Brazil,Latin America & Caribbean,0.00469680715242023,0.193460713283577,0.0114143280036562,0.209571848439654,50.8929705547275
BRA,2018,3.371906,241.314602,1.261323,245.947831,736.747744,"",50.9461625741774,Brazil,Latin America & Caribbean,0.00457674424857146,0.327540333805216,0.00171201474354294,0.333829092797331,50.9461625741774
BRA,2019,3.127777,180.171866,5.173166,188.472809,631.436922,"",50.7474117564346,Brazil,Latin America & Caribbean,0.00495342747790728,0.285336285735917,0.00819268848520074,0.298482401699025,50.7474117564346
BRA,2020,9.991161,198.088116,23.21246,231.291737,962.486676,"",50.4835433703315,Brazil,Latin America & Caribbean,0.0103805707124407,0.205808683838861,0.0241171754153197,0.240306429966621,50.4835433703315
BRA,2021,2.307488,353.609636,6.328019,362.245143,1358.239944,"",50.6003184019651,Brazil,Latin America & Caribbean,0.00169888097474477,0.260344011794134,0.00465898461310456,0.266701877381983,50.6003184019651
BRA,2022,14.419528,167.115209,4.4317,185.966437,1021.249827,yes,50.4762184926678,Brazil,Latin America & Caribbean,0.0141194912535344,0.163637931269877,0.00433948665922271,0.182096909182634,50.4762184926678
BTN,2017,2.610718,7.907257,0,10.517975,137.00422,"",52.2325279614167,Bhutan,South Asia,0.0190557487937233,0.0577154265759113,0,0.0767711753696346,52.2325279614167
BTN,2018,8.558299,11.292849,0.298048,20.149196,124.70856,"",51.7400044978498,Bhutan,South Asia,0.0686263958143691,0.0905539202762024,0.00238995623075112,0.161570272321323,51.7400044978498
BTN,2019,14.172993,2.76927,0.008123,16.950386,199.404694,"",51.5822152534112,Bhutan,South Asia,0.0710765264131646,0.0138876871173354,4.07362526781842e-05,0.0850049497831781,51.5822152534112
BTN,2020,10.143365,1.144342,0.000363,11.28807,221.895146,"",51.3485646056857,Bhutan,South Asia,0.0457124240112941,0.00515712948493249,1.63590779944326e-06,0.050871189404026,51.3485646056857
BTN,2021,0.658056,0.714314,0.408417,1.780787,145.655106,"",52.6537819955609,Bhutan,South Asia,0.00451790546910178,0.00490414664900247,0.0028040005683014,0.0122260526864057,52.6537819955609
BTN,2022,1.824446,2.03318,0.080381,3.938007,219.551174,"",52.4355372317687,Bhutan,South Asia,0.0083098895203357,0.00926062003202953,0.000366115099890106,0.0179366246522553,52.4355372317687
BWA,2017,0,0.709066,0.595976,1.305042,123.371448,"",50.8238769582253,Botswana,Sub-Saharan Africa,0,0.00574740761736054,0.00483074495486184,0.0105781525722224,50.8238769582253
BWA,2018,0.033735,0.518341,0,0.552076,102.753442,"",49.9164347510982,Botswana,Sub-Saharan Africa,0.000328310169891925,0.0050445122801823,0,0.00537282245007423,49.9164347510982
BWA,2019,0,0.075478,0.022418,0.097896,92.770004,"",49.9437655651312,Botswana,Sub-Saharan Africa,0,0.000813603500545284,0.000241651385506031,0.00105525488605131,49.9437655651312
BWA,2020,0.000424,0.046018,0.705534,0.751976,99.287542,"",50.0245680989217,Botswana,Sub-Saharan Africa,4.27042498443561e-06,0.000463482115409807,0.00710596703058678,0.00757371957098102,50.0245680989217
BWA,2021,0.059138,0,0.015946,0.075084,112.061283,"",49.8600489143436,Botswana,Sub-Saharan Africa,0.000527729099799794,0,0.000142297139325096,0.00067002623912489,49.8600489143436
BWA,2022,0.431113,0.040105,0.885461,1.356679,100.634089,"",49.9938406494272,Botswana,Sub-Saharan Africa,0.00428396584382058,0.000398523009434706,0.00879881766505583,0.0134813065183111,49.9938406494272
CAF,2017,0,0,0.004621,0.004621,579.528838,yes,72.3355609759695,Central African Republic,Sub-Saharan Africa,0,0,7.97371881604277e-06,7.97371881604277e-06,72.3355609759695
CAF,2018,0,0.086515,0,0.086515,683.039801,yes,72.4399165325783,Central African Republic,Sub-Saharan Africa,0,0.000126661725822329,0,0.000126661725822329,72.4399165325783
CAF,2019,0,1.364554,0,1.364554,750.509969,yes,72.1641998952063,Central African Republic,Sub-Saharan Africa,0,0.00181816905352792,0,0.00181816905352792,72.1641998952063
CAF,2020,0.081807,1.675538,0,1.757345,867.704318,yes,72.4183339080753,Central African Republic,Sub-Saharan Africa,9.4279812031545e-05,0.00193100110860575,0,0.0020252809206373,72.4183339080753
CAF,2021,0.672261,0.68166,0,1.353921,647.088221,yes,72.2739586068673,Central African Republic,Sub-Saharan Africa,0.00103890161833127,0.00105342668569453,0,0.0020923283040258,72.2739586068673
CAF,2022,4.169119,0,0.2605,4.429619,691.614933,yes,72.1051967992161,Central African Republic,Sub-Saharan Africa,0.00602809280290656,0,0.00037665467816034,0.0064047474810669,72.1051967992161
CHL,2017,0.662038,39.195214,0,39.857252,119.667619,"",39.8357724376337,Chile,Latin America & Caribbean,0.00553230694762967,0.327534000655599,0,0.333066307603229,39.8357724376337
CHL,2018,0,0,0,0,0,,,Chile,Latin America & Caribbean,,,,,
CHL,2019,0,0,0,0,0,,,Chile,Latin America & Caribbean,,,,,
CHL,2020,0,0,0,0,0,,,Chile,Latin America & Caribbean,,,,,
CHL,2021,0,0,0,0,0,,,Chile,Latin America & Caribbean,,,,,
CHL,2022,0,0,0,0,0,,,Chile,Latin America & Caribbean,,,,,
CHN,2017,7.596026,139.654472,20.331604,167.582102,1444.493224,"",44.8937044296406,China (People's Republic of),East Asia & Pacific,0.00525860964509447,0.096680600282276,0.0140752505184476,0.116014460445818,44.8937044296406
CHN,2018,3.269977,67.773014,0.641356,71.684347,1547.491422,"",44.5727547715132,China (People's Republic of),East Asia & Pacific,0.00211308247238866,0.0437954052839977,0.0004144488240013,0.0463229365803877,44.5727547715132
CHN,2019,13.039228,88.441355,9.60242,111.083003,1446.62334,"",41.2207447776319,China (People's Republic of),East Asia & Pacific,0.00901356119416682,0.061136408182105,0.00663781630953086,0.0767877856858026,41.2207447776319
CHN,2020,48.288456,82.836997,5.553107,136.67856,1539.406289,"",40.3316542623604,China (People's Republic of),East Asia & Pacific,0.0313682335489016,0.0538110033666362,0.0036073043482285,0.0887865412637664,40.3316542623604
CHN,2021,10.641843,62.887148,5.711567,79.240558,1136.083691,"",40.0001317732983,China (People's Republic of),East Asia & Pacific,0.00936712945032498,0.0553543268847084,0.00502741747394735,0.0697488738089807,40.0001317732983
CHN,2022,8.828339,150.024533,1.786221,160.639093,1191.3146,"",39.8174177369401,China (People's Republic of),East Asia & Pacific,0.00741058575123649,0.125931918403418,0.00149936968790612,0.13484187384256,39.8174177369401
CIV,2017,0.03819,0.024893,0,0.063083,1460.055482,"",60.1003369147554,Côte d'Ivoire,Sub-Saharan Africa,2.61565402622145e-05,1.70493521012649e-05,0,4.32058923634794e-05,60.1003369147554
CIV,2018,0.063656,1.861196,0.884085,2.808937,1310.225354,"",59.5628627519382,Côte d'Ivoire,Sub-Saharan Africa,4.8584008701758e-05,0.00142051593973352,0.000674757969917899,0.00214385791835318,59.5628627519382
CIV,2019,3.08357,150.785715,4.489466,158.358751,1348.340392,"",59.1929803309507,Côte d'Ivoire,Sub-Saharan Africa,0.00228693734779103,0.111830599969151,0.00332962360738949,0.117447160924331,59.1929803309507
CIV,2020,4.547257,122.318886,0.030875,126.897018,1796.306638,"",59.0636019636116,Côte d'Ivoire,Sub-Saharan Africa,0.00253144808564694,0.0680946579010526,1.71880453742442e-05,0.0706432940320738,59.0636019636116
CIV,2021,14.493568,85.484126,1.752139,101.729833,1718.527211,"",58.777194174995,Côte d'Ivoire,Sub-Saharan Africa,0.00843371458259674,0.0497426665419266,0.00101955848518712,0.0591959396097104,58.777194174995
CIV,2022,10.948901,78.133277,4.632703,93.714881,2048.060508,"",58.3504426148569,Côte d'Ivoire,Sub-Saharan Africa,0.00534598511969355,0.0381498870247246,0.00226199518124784,0.045757867325666,58.3504426148569
CMR,2017,25.546463,3.774821,2.46424,31.785524,1413.183278,"",61.178686680961,Cameroon,Sub-Saharan Africa,0.0180772468778108,0.00267114751410185,0.00174375117393655,0.0224921455658492,61.178686680961
CMR,2018,0.761117,6.277558,1.33737,8.376045,1291.950824,yes,61.318025987172,Cameroon,Sub-Saharan Africa,0.000589122268325594,0.00485897596362383,0.00103515549907649,0.00648325373102591,61.318025987172
CMR,2019,61.618206,7.758711,1.065416,70.442333,1478.903287,yes,61.3322820672335,Cameroon,Sub-Saharan Africa,0.0416647975169454,0.00524625989285532,0.000720409515189616,0.0476314669249903,61.3322820672335
CMR,2020,21.698705,12.158592,2.478891,36.336188,1530.238375,yes,61.2292959129947,Cameroon,Sub-Saharan Africa,0.0141799508851031,0.00794555423431986,0.00161993780870905,0.023745442928132,61.2292959129947
CMR,2021,7.441606,20.33819,1.285758,29.065554,1200.953198,yes,61.4844805191986,Cameroon,Sub-Saharan Africa,0.00619641632362763,0.0169350396284136,0.00107061457693874,0.0242020705289799,61.4844805191986
CMR,2022,6.236039,36.849545,2.734836,45.82042,1385.313486,yes,61.3288309720887,Cameroon,Sub-Saharan Africa,0.00450153634034571,0.0266001488994383,0.00197416399077775,0.0330758492305618,61.3288309720887
COD,2017,4.707421,16.296864,80.514373,101.518658,2696.754963,yes,68.1164512433088,Democratic Republic of the Congo,Sub-Saharan Africa,0.00174558722041369,0.00604313859568115,0.0298560210714999,0.0376447468875948,68.1164512433088
COD,2018,2.283957,43.253367,0.967957,46.505281,2804.462829,yes,67.5896866189719,Democratic Republic of the Congo,Sub-Saharan Africa,0.000814400881474475,0.0154230487752348,0.00034514880710512,0.0165825984638144,67.5896866189719
